File Path,Has Title,Has Meta Description,Has H1
./account.html,Yes,Yes,Yes
./ad-components/banner-ad.html,No,No,No
./ad-components/bottom-ad.html,No,No,No
./ad-components/mid-article-ad.html,No,No,No
./ad-components/sidebar-ad.html,No,No,No
./admin.html,Yes,Yes,Yes
./android/app/src/main/assets/public/index.html,Yes,Yes,Yes
./articles/a-new-year-a-new-football-2025-edition-01-05-2025.html,Yes,Yes,Yes
./articles/arsenals-corner-kick-mastery-10-06-2024.html,Yes,Yes,Yes
./articles/ballon-d'or-predictions-09-25-2024.html,Yes,Yes,Yes
./articles/best-fpl-tips-and-lineup-for-gameweek-8-fpl-10-16-2024.html,Yes,Yes,Yes
./articles/bournmouth-vs-liverpool-heavily-anticipated-match-preview-2025-01-31.html,Yes,Yes,Yes
./articles/can-arsenal-dethrone-man-city-10-03-2024.html,Yes,Yes,Yes
./articles/champions-league-matchday-2-fixtures-09-28-2024.html,Yes,Yes,Yes
./articles/cole-palmers-rise-and-domination-of-the-premier-league-09-30-2024.html,Yes,Yes,Yes
./articles/enhanced-premier-league-final-day-drama.html,Yes,Yes,Yes
./articles/epl-latest-matchweek-4-news-2024-09-15.html,Yes,Yes,Yes
./articles/epl-premier-league-standings-2024-09-05.html,Yes,Yes,Yes
./articles/erik-ten-hag-under-pressure-at-man-united-10-01-2024.html,Yes,Yes,Yes
./articles/exclusive-arsenal-transfer-insider-07-25-2025.html,Yes,Yes,Yes
./articles/fantasy-premier-league-2025-26-gw1-best-fpl-team-scoring-rules-2025-08-13.html,Yes,Yes,Yes
./articles/fantasy-premier-league-tips-2025-26-best-fpl-tools-strategies-12-08-2025.html,Yes,Yes,Yes
./articles/fc-25-new-game-09-21-2024.html,Yes,Yes,Yes
./articles/fpl-gameweek-3-analysis-and-fpl-tips-2024-09-02.html,Yes,Yes,Yes
./articles/fpl-gameweek-6-tips-and-analysis-09-25-2024.html,Yes,Yes,Yes
./articles/fpl-tips-for-gamweek-7-fantasy-premier-league-10-04-2024.html,Yes,Yes,Yes
./articles.html,Yes,Yes,Yes
./article-sidebar-ads.html,No,No,No
./articles/isak-refuses-newcastle-transfer-2025-08-12.html,Yes,Yes,Yes
./articles/jack-grealish-everton-loan-2025-transfer-analysis.html,Yes,Yes,Yes
./articles/lamine-yamals-dominance-at-barcelona-09-20-2024.html,Yes,Yes,Yes
./articles/latest-epl-news-2025-02-07.html,Yes,Yes,Yes
./articles/latest-epl-standings-september-09-24-2024.html,Yes,Yes,Yes
./articles/latest-premier-league-standings-and-highlights-2025-edition-01-05-2025.html,Yes,Yes,Yes
./articles/liverpool-triumph-over-bournemouth-2025-02-02.html,Yes,Yes,Yes
./articles/Manchester-Uniteds-worst-team-in-years-20-01-2025.html,Yes,Yes,Yes
./articles/man-citys-legal-battle-vs-epl-updates-10-09-2024.html,Yes,Yes,Yes
./articles/man-citys-rodri-out-for-season-with-acl-injury-09-27-2024.html,Yes,Yes,Yes
./articles/marcus-rashford-barcelona-transfer-and-premier-league-updates-07-26-2025.html,Yes,Yes,Yes
